commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
90d6ef8130fd7e121e35221eb1452e6646ba4047,1385041222,1.0,,51,1010,3,5,2,0.6737257536613107,true,13.0,1123730.0,59.0,21.0,false,50.0,2226887.111111111,147.0,2.0,182.0,163.0,317.0,181.0,163.0,316.0,138.0,131.0,242.0,0.13654223968565815,0.12966601178781925,0.2387033398821218
1867b89a53e3e46394e9db80e0dc82471661068c,1362244748,,,70,0,1,2,1,0.9786961448300948,true,3.0,374934.0,15.0,6.0,false,5.0,1314609.0,5.0,3.0,4.0,208.0,212.0,4.0,208.0,212.0,0.0,178.0,178.0,0.0025906735751295338,0.4637305699481865,0.4637305699481865
94d8553201e50e3e9e25992bfe4735addae4ffda,1327742220,,,150,49,7,6,1,0.8550984381647385,true,10.0,511495.0,23.0,7.0,false,54.0,160699.0,153.0,2.0,192.0,498.0,585.0,192.0,497.0,584.0,191.0,374.0,461.0,0.291350531107739,0.5690440060698028,0.7010622154779971
8761a7b9c8a967d2b5bf7b690115af98ee0cbd0e,1389712059,,,25,7,5,2,1,0.8665280807145616,true,4.0,2731831.0,26.0,11.0,false,77.0,88915.0,246.0,4.0,40.0,1348.0,1356.0,40.0,1195.0,1203.0,37.0,1287.0,1293.0,0.005402331532556156,0.1831106056297981,0.18396360534546488
77c30189abe53326d99241a465b702ad7eed6b03,1359637514,,,31,2,1,3,1,0.6022260014404363,true,4.0,568790.0,26.0,6.0,false,120.0,25712.0,622.0,3.0,2.0,1794.0,1794.0,2.0,1660.0,1660.0,2.0,1589.0,1589.0,0.0008034279592929834,0.4258168184252812,0.4258168184252812
222a00fef9e85f4a2732f21d7fc0d11cd6b7dad5,1361992420,,,113,90,16,12,1,0.8494969276484026,true,6.0,174783.0,25.0,9.0,false,51.0,282083.61904761905,243.0,1.0,1059.0,365.0,1169.0,820.0,331.0,916.0,528.0,238.0,558.0,0.7514204545454546,0.33948863636363635,0.7940340909090909
f2dfdd4ab37965a6559f3c033cdf877e0fe172be,1377352949,,,18,10,2,1,1,0.9963165195589619,true,3.0,10598196.0,26.0,15.0,false,86.0,1097372.5,235.0,8.0,15.0,2748.0,2748.0,15.0,2492.0,2492.0,13.0,1868.0,1868.0,0.0024104683195592287,0.321797520661157,0.321797520661157
a574af21f81e12ea5fd48ad50bd0535d08fcda24,1364945075,,,1,0,1,1,1,0.0,true,2.0,2574505.0,15.0,11.0,false,19.0,556813.0,41.0,11.0,176.0,1935.0,1942.0,176.0,1661.0,1668.0,168.0,1783.0,1789.0,0.03943990665110852,0.4163360560093349,0.4177362893815636
96adb2a6c255f96e9d82c86ec37072c30aec021c,1378226152,0.0,,9,1,1,1,1,0.0,true,2.0,32099.0,14.0,7.0,false,2.0,3043141.0,2.0,3.0,89.0,764.0,827.0,58.0,725.0,762.0,4.0,223.0,223.0,0.018382352941176468,0.8235294117647058,0.8235294117647058
0d5fb06b39e8244429be72f05e2066d24572dc2e,1368625651,1.0,,451,96,13,12,1,0.7922238725525185,true,11.0,2285911.0,66.0,21.0,false,192.0,4738.823529411765,1261.0,1.0,36.0,700.0,732.0,36.0,539.0,571.0,35.0,677.0,708.0,0.007926023778071334,0.14927344782034346,0.15609863496257154
7d961093ee95cf0d0d2effae2b3ceccdd2fb7ecc,1362044101,2.0,,52,5,1,2,1,0.9890934397021433,true,1.0,-10994035.0,8.0,4.0,false,2.0,333595.0,2.0,3.0,3.0,562.0,562.0,3.0,533.0,533.0,3.0,481.0,481.0,0.005161290322580645,0.6219354838709678,0.6219354838709678
1820686852fe5742547f106a4696bf4530fa970c,1347168319,,,11,4,1,1,1,0.0,true,3.0,-25952243.0,12.0,4.0,false,4.0,190343.0,8.0,2.0,187.0,217.0,320.0,186.0,217.0,319.0,148.0,203.0,273.0,0.470031545741325,0.6435331230283912,0.8643533123028391
35f64f8026f7607c749727ac6b3ee93c956bdfd2,1385655431,1.0,1.0,20,5,2,2,1,0.4021791902022728,true,2.0,8398423.0,75.0,25.0,false,2.0,10060991.0,2.0,6.0,44.0,1035.0,1040.0,44.0,957.0,962.0,37.0,458.0,461.0,0.06462585034013606,0.7806122448979592,0.7857142857142857
41c37d3666c4d46aaf3daa9bb4236e7cdcf3af57,1352996791,,,7,7,1,3,1,0.8699155297736259,true,3.0,498665.0,14.0,4.0,false,16.0,2745072.333333333,29.0,1.0,395.0,278.0,646.0,379.0,278.0,630.0,14.0,192.0,192.0,0.06818181818181818,0.8772727272727273,0.8772727272727273
e332c8a3133b1c550c02f8793c19fc2ee062a127,1360721790,,,2,0,1,1,1,0.0,true,2.0,211797.0,13.0,5.0,false,6.0,337211.0,12.0,3.0,86.0,1062.0,1093.0,86.0,1057.0,1088.0,85.0,1007.0,1038.0,0.02233186185406388,0.2617501947546092,0.2698000519345625
e7319bcebdc225a4b7f784acebbf2cd00f3a3e3b,1382988564,,1.0,31,8,2,2,1,0.7320666900931938,true,13.0,1334243.0,39.0,9.0,false,9.0,1042148.0,22.0,3.0,3.0,525.0,526.0,3.0,509.0,510.0,3.0,482.0,483.0,0.003555555555555556,0.4293333333333333,0.43022222222222223
38ecf82efb0765deddf1e96e70231601a518c9bb,1378307402,,,12,9,2,2,1,0.8631205685666309,true,1.0,65229.0,11.0,4.0,false,86.0,495091.0,217.0,3.0,1590.0,1437.0,2613.0,1397.0,1400.0,2393.0,1501.0,1248.0,2346.0,0.2534165682470052,0.2107305550868905,0.3959844778133963
09f2bea49b853c327762d122d6d9e18f62aed31f,1380230581,,,79,64,5,4,1,0.6945307109302828,true,9.0,542994.0,59.0,13.0,true,47.0,471601.4,148.0,1.0,951.0,951.0,951.0,839.0,839.0,839.0,817.0,817.0,817.0,0.7820267686424475,0.7820267686424475,0.7820267686424475
62c869d2375009190c5358636fd7de2ab9d194a5,1392756477,,1.0,3,1,1,1,1,0.0,true,6.0,3769243.0,90.0,32.0,false,24.0,815027.0,31.0,12.0,2.0,3055.0,3055.0,2.0,2346.0,2346.0,0.0,2919.0,2919.0,0.0001355380862022228,0.3957712117104906,0.3957712117104906
c32a6d5ec3426528b1f3194b0810c0592e0007d6,1371808531,0.0,,78,4,2,2,1,0.9995708393473224,true,2.0,628091.0,13.0,3.0,false,36.0,79571.0,80.0,3.0,11.0,1118.0,1128.0,11.0,985.0,995.0,10.0,1026.0,1035.0,0.002209722780233025,0.20630775411811966,0.20811570912012856
6228acd7ff3b20460d8c6fae9ab7c773ab38529a,1338700991,,,1,87,38,30,1,0.9637814611353211,true,1.0,315913.0,5.0,2.0,false,106.0,239091.09433962265,712.0,2.0,32.0,1125.0,1143.0,31.0,1124.0,1142.0,26.0,894.0,910.0,0.016656384947563233,0.5521283158544109,0.5619987661937076
0c0a211f9fb22485a2c75f70ad86cf4697db11ae,1366989323,0.0,,68,6,2,2,1,0.7313133614114589,true,1.0,25612.0,8.0,3.0,false,130.0,827635.3333333335,721.0,3.0,181.0,2234.0,2311.0,180.0,1945.0,2021.0,173.0,1974.0,2044.0,0.0395005675368899,0.44835414301929627,0.4642451759364359
bd7fb1c30ffb71b22bed1ce56c6caab5290cecc0,1355511745,,,55,0,1,1,1,0.0,true,2.0,290683.0,8.0,3.0,false,21.0,50222.0,74.0,2.0,174.0,588.0,735.0,174.0,562.0,709.0,167.0,457.0,599.0,0.05175600739371535,0.14109673444239065,0.18484288354898334
5fb347ca6fd70750861cf1a49808f68125288f38,1390940549,,,31,0,1,1,1,0.0,true,1.0,387030.0,20.0,4.0,false,14.0,347915.0,14.0,3.0,158.0,454.0,534.0,145.0,389.0,457.0,116.0,240.0,287.0,0.1587516960651289,0.32700135685210313,0.3907734056987788
29de4dbb053d6ad886ca295d5dbcf6b646805f53,1379689183,,,25,0,2,2,1,0.4021791902022728,true,2.0,356567.0,17.0,6.0,false,63.0,1707737.0,149.0,3.0,780.0,1986.0,2477.0,767.0,1635.0,2115.0,761.0,1858.0,2335.0,0.12508207485226527,0.3051543007222587,0.3834537097833224
2786a6cafa6edaf5438a3dacf54b160d8a733e7b,1376507143,0.0,,10,0,1,1,1,0.0,true,3.0,80886.0,13.0,5.0,false,7.0,95535.0,9.0,3.0,110.0,742.0,800.0,97.0,702.0,747.0,48.0,162.0,171.0,0.2525773195876289,0.8402061855670103,0.8865979381443299
de1db2023597dd3555da33bd86582627c85d4856,1379024626,,,28,16,2,2,1,0.9940302114769564,true,2.0,360863.0,15.0,4.0,false,4.0,1262187.0,7.0,2.0,461.0,563.0,889.0,386.0,527.0,785.0,111.0,121.0,184.0,0.34567901234567894,0.3765432098765432,0.5709876543209876
8d68cf8608a863dff384c3a701a1d969d4453e49,1359581644,,,6,12,1,1,1,0.0,true,1.0,239291.0,6.0,3.0,false,18.0,172919.0,31.0,3.0,82.0,800.0,839.0,82.0,749.0,788.0,80.0,737.0,774.0,0.021733297558357928,0.19801448886503886,0.2079420445398444
3a89638691b1e9eb167886793c7819be4fd8dc4f,1368648004,,,98,6,3,4,1,0.8105441372459403,true,14.0,1932257.0,80.0,26.0,false,127.0,1382694.5,652.0,4.0,702.0,1676.0,2182.0,541.0,1387.0,1762.0,679.0,1465.0,1953.0,0.14948340294570234,0.3222686304682348,0.4295449549351506
8f28b588618fc1ac24a84a86d8d485f8875d3709,1358068589,1.0,,75,64,3,4,1,0.482812878359295,true,13.0,-13674027.0,60.0,25.0,false,18.0,820469.6,69.0,5.0,450.0,303.0,540.0,450.0,300.0,537.0,415.0,250.0,462.0,0.6921797004991681,0.4176372712146423,0.7703826955074875
47c4c49baaa08c83c29f695ed85e626b381b0a7e,1324419853,0.0,,34,8,1,2,1,0.74959525725948,true,1.0,719.0,3.0,2.0,false,1.0,4919288.0,1.0,2.0,261.0,169.0,364.0,260.0,169.0,363.0,180.0,116.0,259.0,0.4525,0.2925,0.65
